1,"The timing [of the previous pilot] was… poor, it went live right at the start of 2020. We didn’t get a lot of applications.",Forest Service 1,Past failures and skepticism
2,The department (USDA) determined that a part of it [the previous pilot] wasn’t secure enough and took it down.,Forest Service 1,Past failures and skepticism
3,Next-gen SUDS seems to have long load times between pages and actions,Forest Service 1,"Past failures and skepticism, SUDS/SUDS NextGen"
5,We still have to run it through screening whether they give it to us using a napkin or [the approved paper form]. We may ask for more details but we don’t have an official proposal form.,Forest Service 1,Problems from admin's perspective
6,"The proposal is based on our code of federal regulations – what they require to be in a proposal. We need to know what they’re doing, where it is, what impact – pretty broad other info. Do you actually have the technical or financial capability to put this on? On that official form we call it an application.",Forest Service 1,Problems from admin's perspective
7,I hate this form.,Forest Service 1,Problems from admin's perspective
8,"We did the same thing for the generic form (SF299), but outfitting and guides doesn’t really fit because it has questions like “what’s the volume of product being transported” and [stuff like that].",Forest Service 1,"Problems from admin's perspective, Problems from proponent's perspective"
9,"To clarify, no one is using this right now for real data. All the real cases are still managed in the legacy system.",Forest Service 1,[General background]
10,We’re kinda in a “strategic pause.” We transitioned out of an agreement we had with Enterprise Application Services. We don’t know what the time frame is.,Forest Service 1,[General background]
11,People were trained on how to do it. We gave them a piece of paper application they could copy and paste. That was one of the things they liked the least was having to fill in this info. I have in the back of my mind we’ll have this fancy e-permit system that [feeds it in for us].,Forest Service 1,"Problems from proponent's perspective, Problems from admin's perspective"
12,"The way the pilot was done w/ legacy -- there was a go-between on e-permit side – it was an admin portal where you could login and see all the apps that had been submitted and respond from there. This doesn't have anything that you can do that in. It’s all at this point in time after we’ve brought the data in. but yeah, we’d envision being able to go back and forth in the systems and update the applicant, maybe even send them their bills - pie in the sky. Outfitters have to submit reports when the season ends to calculate their bills. They’d log in to the same place and submit their revenue numbers and help them get their bills done in a timely manner. But first we have to get the proposal phase kicked off.
",Forest Service 1,Problems from admin's perspective
13,"[Next-gen is] close there’s still a bit of work to be done before we call the MVP ready for go-live. But the idea would be to turn off legacy and turn on next gen. Migrate everything over that’s active, all legacy stuff would be read-only archive. And yeah it’s close to being done. The features are here, they need some fine tuning.",Forest Service 1,SUDS/SUDS NextGen
14,"We have proposals – it can be an oral proposal, it can be written on a napkin, no official form. It’s “Hey, I want to be an outfitter, take people on horseback rides for a couple months in the summer” you provide general info. Proposals can be – they go through a screening process, which is part … it’s part of the law, it’s in the CFR. there’s two levels of screenings that it goes through. It has to pass both levels in order for us to accept this as an application, we’re not granting this authorization to ride horses, but we’re going … we’re required to conduct a NEPA analysis, so we go through that, see if there’s any circumstances to be mitigated — riding through owl nesting areas with bluetooth speakers – so proposals they’re maybe light on the info, specifics, still want enough to run it through the screening. Is it legit? Certain things we won’t consider - gambling. That would be rejected outright. We used to get a proposal for an aug railroad system to the top of a peak in our forest – no, we’re not putting a railroad in our forest. Proposals can be rejected and they have no appeal rights, they can re-submit.",Forest Service 1,[General background]
15,"Applications – once we accept that proposal as an application, that’s when they have appeal rights. We do the NEPA analysis, make a determination, deny the app, then they can appeal that. We may have to end up in court together, all that fun stuff. It gives them a little more weight, usually when we use the paper forms to continue processing it and learn what they want to do and how it’s going to impact things and how we’re going to administer it if we process it.",Forest Service 1,[General background]
16,"The legacy system – we pretty much start with the application phase – do all the proposal stuff off the cuff, on paper. Then we put it in as an application.",Forest Service 1,Problems from admin's perspective
17,"Did a report on how many proposals, including rejections – no way to tell because we start in legacy with the application. Goal of the next gen was to get the proposal part in and document that.",Forest Service 1,Problems from admin's perspective
18,"We did hook up to a mail server for the billing side of the house. So it will send the permit admin an email summarizing the bills they just sent off. So I'm guessing we could do something with that. We did mock up a dashboard for the permit admin… this is all just dummy data in our sandbox. But this would be a place… the idea was when you’d log in to SUDS, you’d land here to get a quick summary of what’s going on. I’d think this would be a spot where you could see ""oh, Ihave new proposals"" ,etc.
",Forest Service 1,Problems from admin's perspective
19,"We’re going to learn about [the CIO situation] in the next week. It’s the CTO group.. Been doing analysis and feeding us some info. The application is almost near complete. The bigger hurdle that we’ve struggled with is the data migration. The legacy system has a very loose set of business rules built into it where we wanted to tighten.. Folks have been able to set up things in legacy that we don’t want them to be able to in next-gen… things issued 10 years ago that have 
",Forest Service 1,Problems from admin's perspective
